Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Request_Moduler,Chrome 67.0.3396.99,,2018-07-03 09:03:49,2018-07-03 09:18:33,14m - 43.691s,FAILED
,,,,,,
Test Cases/Studio Smoke Test Cases/Common Functions,Chrome 67.0.3396.99,,2018-07-03 09:03:50,2018-07-03 09:03:53,2.884s,PASSED
Statement - digi = generateRandomInt(9999999),Chrome 67.0.3396.99,,2018-07-03 09:03:51,2018-07-03 09:03:51,0.002s,PASSED
Statement - random = new java.util.Random(),Chrome 67.0.3396.99,,2018-07-03 09:03:51,2018-07-03 09:03:51,0.003s,PASSED
Statement - return random.nextInt(upperRange),Chrome 67.0.3396.99,,2018-07-03 09:03:51,2018-07-03 09:03:51,0.000s,PASSED
Statement - acc = generateRandomInt(999999999),Chrome 67.0.3396.99,,2018-07-03 09:03:51,2018-07-03 09:03:51,0.000s,PASSED
Statement - random = new java.util.Random(),Chrome 67.0.3396.99,,2018-07-03 09:03:51,2018-07-03 09:03:51,0.000s,PASSED
Statement - return random.nextInt(upperRange),Chrome 67.0.3396.99,,2018-07-03 09:03:51,2018-07-03 09:03:51,0.000s,PASSED
Statement - accNo = java.lang.String.valueOf(acc),Chrome 67.0.3396.99,,2018-07-03 09:03:51,2018-07-03 09:03:51,0.016s,PASSED
Statement - println(accNo),Chrome 67.0.3396.99,,2018-07-03 09:03:51,2018-07-03 09:03:51,0.015s,PASSED
"Statement - form_id = ""F"" + digi",Chrome 67.0.3396.99,,2018-07-03 09:03:51,2018-07-03 09:03:51,0.000s,PASSED
Statement - println(form_id),Chrome 67.0.3396.99,,2018-07-03 09:03:51,2018-07-03 09:03:51,0.000s,PASSED
"Statement - view_id = ""AV"" + digi",Chrome 67.0.3396.99,,2018-07-03 09:03:51,2018-07-03 09:03:51,0.000s,PASSED
Statement - println(view_id),Chrome 67.0.3396.99,,2018-07-03 09:03:51,2018-07-03 09:03:51,0.016s,PASSED
"Statement - app_id = ""AA"" + digi",Chrome 67.0.3396.99,,2018-07-03 09:03:51,2018-07-03 09:03:51,0.000s,PASSED
Statement - println(app_id),Chrome 67.0.3396.99,,2018-07-03 09:03:51,2018-07-03 09:03:51,0.000s,PASSED
"Statement - subWS_id = ""ASUB"" + digi",Chrome 67.0.3396.99,,2018-07-03 09:03:51,2018-07-03 09:03:51,0.000s,PASSED
Statement - println(subWS_id),Chrome 67.0.3396.99,,2018-07-03 09:03:51,2018-07-03 09:03:51,0.000s,PASSED
"Statement - WS_id = ""AWS"" + digi",Chrome 67.0.3396.99,,2018-07-03 09:03:51,2018-07-03 09:03:51,0.000s,PASSED
Statement - println(WS_id),Chrome 67.0.3396.99,,2018-07-03 09:03:51,2018-07-03 09:03:51,0.000s,PASSED
"Statement - req_id = ""AR"" + digi",Chrome 67.0.3396.99,,2018-07-03 09:03:51,2018-07-03 09:03:51,0.015s,PASSED
Statement - println(req_id),Chrome 67.0.3396.99,,2018-07-03 09:03:51,2018-07-03 09:03:51,0.000s,PASSED
"Statement - filePath = ""D:\Sheepa\Katalon\Studio Smoke Test\Studio Smoke Test\Data Files\Data Input.xls""",Chrome 67.0.3396.99,,2018-07-03 09:03:51,2018-07-03 09:03:51,0.000s,PASSED
Statement - file = new java.io.File(filePath),Chrome 67.0.3396.99,,2018-07-03 09:03:51,2018-07-03 09:03:51,0.000s,PASSED
Statement - fis = new java.io.FileInputStream(file),Chrome 67.0.3396.99,,2018-07-03 09:03:51,2018-07-03 09:03:51,0.016s,PASSED
Statement - fileOut = new java.io.FileOutputStream(filePath),Chrome 67.0.3396.99,,2018-07-03 09:03:51,2018-07-03 09:03:51,0.000s,PASSED
Statement - workbook = new org.apache.poi.hssf.usermodel.HSSFWorkbook(),Chrome 67.0.3396.99,,2018-07-03 09:03:51,2018-07-03 09:03:51,0.228s,PASSED
"Statement - st = workbook.createSheet(""POI Worksheet"")",Chrome 67.0.3396.99,,2018-07-03 09:03:51,2018-07-03 09:03:51,0.306s,PASSED
Statement - row = st.createRow(0),Chrome 67.0.3396.99,,2018-07-03 09:03:51,2018-07-03 09:03:51,0.080s,PASSED
Statement - cell0 = row.createCell(0),Chrome 67.0.3396.99,,2018-07-03 09:03:51,2018-07-03 09:03:51,0.000s,PASSED
"Statement - cell0.setCellValue(""FormID"")",Chrome 67.0.3396.99,,2018-07-03 09:03:51,2018-07-03 09:03:52,0.035s,PASSED
Statement - cell1 = row.createCell(1),Chrome 67.0.3396.99,,2018-07-03 09:03:52,2018-07-03 09:03:52,0.003s,PASSED
"Statement - cell1.setCellValue(""ViewID"")",Chrome 67.0.3396.99,,2018-07-03 09:03:52,2018-07-03 09:03:52,0.007s,PASSED
Statement - cell2 = row.createCell(2),Chrome 67.0.3396.99,,2018-07-03 09:03:52,2018-07-03 09:03:52,0.002s,PASSED
"Statement - cell2.setCellValue(""AppID"")",Chrome 67.0.3396.99,,2018-07-03 09:03:52,2018-07-03 09:03:52,0.003s,PASSED
Statement - cell3 = row.createCell(3),Chrome 67.0.3396.99,,2018-07-03 09:03:52,2018-07-03 09:03:52,0.001s,PASSED
"Statement - cell3.setCellValue(""SubWSID"")",Chrome 67.0.3396.99,,2018-07-03 09:03:52,2018-07-03 09:03:52,0.001s,PASSED
Statement - cell4 = row.createCell(4),Chrome 67.0.3396.99,,2018-07-03 09:03:52,2018-07-03 09:03:52,0.001s,PASSED
"Statement - cell4.setCellValue(""WSID"")",Chrome 67.0.3396.99,,2018-07-03 09:03:52,2018-07-03 09:03:52,0.002s,PASSED
Statement - cell5 = row.createCell(5),Chrome 67.0.3396.99,,2018-07-03 09:03:52,2018-07-03 09:03:52,0.001s,PASSED
"Statement - cell5.setCellValue(""ReqMod_id"")",Chrome 67.0.3396.99,,2018-07-03 09:03:52,2018-07-03 09:03:52,0.001s,PASSED
Statement - cell6 = row.createCell(6),Chrome 67.0.3396.99,,2018-07-03 09:03:52,2018-07-03 09:03:52,0.000s,PASSED
