Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Form_Suite,Chrome 67.0.3396.87,,2018-06-15 16:49:42,2018-06-15 16:53:13,3m - 31.065s,FAILED
,,,,,,
Test Cases/Studio Smoke Test Cases/Common Functions,Chrome 67.0.3396.87,,2018-06-15 16:49:42,2018-06-15 16:49:44,1.961s,PASSED
Statement - digi = generateRandomInt(9999999),Chrome 67.0.3396.87,,2018-06-15 16:49:43,2018-06-15 16:49:43,0.002s,PASSED
Statement - random = new java.util.Random(),Chrome 67.0.3396.87,,2018-06-15 16:49:43,2018-06-15 16:49:43,0.003s,PASSED
Statement - return random.nextInt(upperRange),Chrome 67.0.3396.87,,2018-06-15 16:49:43,2018-06-15 16:49:43,0.001s,PASSED
"Statement - form_id = ""F"" + digi",Chrome 67.0.3396.87,,2018-06-15 16:49:43,2018-06-15 16:49:43,0.002s,PASSED
Statement - println(form_id),Chrome 67.0.3396.87,,2018-06-15 16:49:43,2018-06-15 16:49:43,0.006s,PASSED
"Statement - view_id = ""AV"" + digi",Chrome 67.0.3396.87,,2018-06-15 16:49:43,2018-06-15 16:49:43,0.008s,PASSED
Statement - println(view_id),Chrome 67.0.3396.87,,2018-06-15 16:49:43,2018-06-15 16:49:43,0.000s,PASSED
"Statement - app_id = ""AA"" + digi",Chrome 67.0.3396.87,,2018-06-15 16:49:43,2018-06-15 16:49:43,0.000s,PASSED
Statement - println(app_id),Chrome 67.0.3396.87,,2018-06-15 16:49:43,2018-06-15 16:49:43,0.000s,PASSED
"Statement - subWS_id = ""ASUB"" + digi",Chrome 67.0.3396.87,,2018-06-15 16:49:43,2018-06-15 16:49:43,0.000s,PASSED
Statement - println(subWS_id),Chrome 67.0.3396.87,,2018-06-15 16:49:43,2018-06-15 16:49:43,0.000s,PASSED
"Statement - WS_id = ""AWS"" + digi",Chrome 67.0.3396.87,,2018-06-15 16:49:43,2018-06-15 16:49:43,0.016s,PASSED
Statement - println(WS_id),Chrome 67.0.3396.87,,2018-06-15 16:49:43,2018-06-15 16:49:43,0.000s,PASSED
"Statement - filePath = ""D:\Sheepa\Katalon\Studio Smoke Test\Studio Smoke Test\Data Files\Data Input.xls""",Chrome 67.0.3396.87,,2018-06-15 16:49:43,2018-06-15 16:49:43,0.000s,PASSED
Statement - file = new java.io.File(filePath),Chrome 67.0.3396.87,,2018-06-15 16:49:43,2018-06-15 16:49:43,0.000s,PASSED
Statement - fis = new java.io.FileInputStream(file),Chrome 67.0.3396.87,,2018-06-15 16:49:43,2018-06-15 16:49:43,0.000s,PASSED
Statement - fileOut = new java.io.FileOutputStream(filePath),Chrome 67.0.3396.87,,2018-06-15 16:49:43,2018-06-15 16:49:43,0.016s,PASSED
Statement - workbook = new org.apache.poi.hssf.usermodel.HSSFWorkbook(),Chrome 67.0.3396.87,,2018-06-15 16:49:43,2018-06-15 16:49:43,0.109s,PASSED
"Statement - st = workbook.createSheet(""POI Worksheet"")",Chrome 67.0.3396.87,,2018-06-15 16:49:43,2018-06-15 16:49:43,0.307s,PASSED
Statement - row = st.createRow(0),Chrome 67.0.3396.87,,2018-06-15 16:49:43,2018-06-15 16:49:43,0.015s,PASSED
Statement - cell0 = row.createCell(0),Chrome 67.0.3396.87,,2018-06-15 16:49:43,2018-06-15 16:49:43,0.016s,PASSED
"Statement - cell0.setCellValue(""FormID"")",Chrome 67.0.3396.87,,2018-06-15 16:49:43,2018-06-15 16:49:43,0.000s,PASSED
Statement - cell1 = row.createCell(1),Chrome 67.0.3396.87,,2018-06-15 16:49:43,2018-06-15 16:49:43,0.000s,PASSED
"Statement - cell1.setCellValue(""ViewID"")",Chrome 67.0.3396.87,,2018-06-15 16:49:43,2018-06-15 16:49:43,0.000s,PASSED
Statement - cell2 = row.createCell(2),Chrome 67.0.3396.87,,2018-06-15 16:49:43,2018-06-15 16:49:43,0.015s,PASSED
"Statement - cell2.setCellValue(""AppID"")",Chrome 67.0.3396.87,,2018-06-15 16:49:43,2018-06-15 16:49:43,0.000s,PASSED
Statement - cell3 = row.createCell(3),Chrome 67.0.3396.87,,2018-06-15 16:49:43,2018-06-15 16:49:43,0.000s,PASSED
